AvailabilityCode|AvailabilityCodeDescription|CVComment|CVTitle|CandidatePermission|CandidateStatusCode|CandidateStatusCodeDescription|CurrentEmployer|CurrentJob|ExternalID|ExtraInfo|HighestEducationLevelCode|HighestEducationLevelCodeDescription|Last3Experiences|ProfilePicture|SalaryCode|SalaryCodeDescription|TotalExperienceYears|id
||||||||Assistente de Recursos humanos|||4|Bachelor|||||3|cv27036.xml
||||0|||Ensino Superior|Assistente de Tecnologia da Informação|||4|Bachelor|Assistente de Tecnologia da Informação, Assistente de Tecnologia da Informação||||10|cv29416.xml
|||||||Supermercado Supercei|Empacotador|||1|Secondary Education||||||cv11172.xml
||||0|||||||4|Bachelor||||||cv19748.xml
||||0|||SANTINO COMERCIAL|Gerente de Infraestrutura|||4|Bachelor|Analista de Infraestrutura Sênior, Analista de Suporte Pleno, Analista de Suporte||||9|cv37456.xml
|||||||||||4|Bachelor||||||cv21960.xml
|||||||Fluxis entrou|Engenheiro de Software|||2|Vocational Education|Analista de Sistemas||||4|cv10338.xml
|||||||EIKON Idiomas|Assistente Administrativo/Comercial|||4|Bachelor|Analista de Suporte, Secretária Executiva, Instrutora de microinformática||||6|cv12363.xml
||||0|||Inframerica em DF|Técnico|||4|Bachelor|Estagiário, Estagiário de TI, Controladoria Geral||||5|cv29070.xml
||||0|||Secretaria de Estado e Esporte do Distrito Federal em DF|Assistente Administrativo|||4|Bachelor|Assistente Administrativo||||8|cv29144.xml
||||0|||DIGISYSTEM /SENAC BERTIOGA|Analista de Suporte Técnico|||5|Master|||||14|cv22020.xml
|||||||||||4|Bachelor||||||cv5715.xml
|||||||Algar Tech - Algar Tecnologia e Consultoria S/A|Analista de Talentos Humanos Pleno|||5|Master|Analista de Educação, Analista de Recursos Humanos, Assistente de Recursos Humanos||||8|cv9173.xml
||||0|||Tellus S.A|Programador|||4|Bachelor|Monitor, Programador Java, Programador||||9|cv283.xml
|||||||||||1|Secondary Education||||||cv20863.xml
|||||||Experience|Analista / Desenvolvedor JAVA Sr|||||Analista / Desenvolvedor JAVA Sr, Analista/Desenvolvedor Java, Analista/Programador||||5|cv23406.xml
||||0|||Experience Information Security Analyst at Life Tecnologia e Consultoria|Assistente de TI|||||Assistente de TI||||5|cv25820.xml
|||||||||||4|Bachelor||||||cv25362.xml
|||||||ESADMBA|Estagiário|||4|Bachelor|||||2|cv735.xml
|||||||STEFANINI IT SOLUTIONS|Analista de Homologação|||5|Master|Analista Programador, Analista de Teste / Controle de Qualidade, Analista de Testes / Desenvolvedor||||14|cv8865.xml
|||||||NCT Informática|Especialista em Segurança da Informação|||4|Bachelor|Consultor Técnico, Analista de Redes e Segurança, Coordenador de Infra||||4|cv17465.xml
|||||||Sythex|Professora|||5|Master|Programadora Jr. B, Analista de Sistemas Jr., Programadora I||||9|cv10724.xml
|||||||ConnectCom Teleinformática Comercio e Serviços LTDA|Analista de atendimento|||5|Master|Suporte Técnico N2, Agente Help Desk, Atendente de Telemarketing||||3|cv12543.xml
|||||||CPAI - Centro de Pesquisa em Arquitetura da Informação - UNB entrou|Arquiteto de Software|||4|Bachelor|Arquiteto de Software||||6|cv806.xml
|||||||ABIPTI|Analista de CT&I|||5|Master|Analista administrativo, Analista administrativo, Gestor de logística||||5|cv28874.xml
||||0|||Universo Online (Uol)|Analista Recrutamento e Seleção|||4|Bachelor|Assistente de Recrutamento e Seleção, Oficial de Gabinete, Operadora de Telemarketing||||14|cv36192.xml
|||||||Procuradoria Geral da República|Estágiária em Gestão de Pessoas|||5|Master|Psicóloga Clínica Estágiária, Estágiária em Gestão de Pessoas, Estágiária em Recursos Humanos||||7|cv3733.xml
||||0|||Globalweb Outsorcing do Brasil S/A em DF|Líder de equipe|||1|Secondary Education|Líder de equipe, Operador Técnico, Técnico de Suporte a Campo||||7|cv29885.xml
||||0|||Cast Informática|Suporte de Atendimento|||5|Master|Estágio de Telefonia IP e Redes, Estágio de Suporte Técnico de Informática e Redes, Administrador||||4|cv18614.xml
|||||||Business Inteligence Datacom Tecnologia Ltda - DF|Controller de Gestão Comercial|||4|Bachelor|Analista da Qualidade Jr., Secretária Administrativa, Estagiária Administrativa||||6|cv8337.xml
||||0|||GVT|Atendente de agendamento|||1|Secondary Education|Aux. Intalação de Rede, Atendente de agendamento||||4|cv19783.xml
||||0|||Universal Automotive Systems (Temporário)|Assistente Administrativo|||4|Bachelor|Estagio: Assistente de Recursos Humanos -, Estagio: Assistente de Recursos Humanos, Assistente Financeiro||||5|cv39392.xml
|||||||Services SA|Coordenadora de equipe|||||Coordenadora de equipe||||6|cv15571.xml
||||0|||Experience|Analista|||||Analista de Sistemas JAVA, Analista de Sistemas Sênior - JAVA, Programador Java||||12|cv21414.xml
||||0|||NMK ASSESORIA CONTÁBIL E PUBLICITARIA em DF|AUXILIAR ADMINISTRATIVA|||1|Secondary Education|AUXILIAR ADMINISTRATIVA||||5|cv28921.xml
|||||||Engesoftware Consultoria de Sistemas (Prestadora de Serviço no|Analista de Suporte em Rede|||4|Bachelor|Técnico de Informática||||1|cv14370.xml
|||||||CAST Informática|Analista de Requisitos Sênior|||4|Bachelor|Analista de Requisitos Sênior, Analista de Requisitos Pleno, Analista de Qualidade||||9|cv2356.xml
||||0|||Experience|Analista de Sistemas|||||Analista de Sistemas, Gerente de Projetos, Analista de Requisitos||||20|cv22304.xml
||||0|||ExtraB Publicidade|Web Design|||4|Bachelor||||||cv20709.xml
|||||||Universidade de São Paulo Bachelor's Degree, Physics|Desenvolvedor|||||Desenvolvedor||||10|cv25048.xml
|||||||Paulo Germano Koehler Junior Brasília|Analista de projetos|||4|Bachelor|Supervisor de TI, Coordenador do setor de informática||||12|cv15651.xml
|||||||I) GLOBAL IP - Brasília (DF)|Consultor Técnico de Segurança da Informação Sênior|||5|Master|Consultor de Projetos de Segurança da Informação Nível III, Consultor em Segurança Digital e Professor Universitário, Analista de Segurança de Rede Pleno||||24|cv4962.xml
|||||||Base Concept Hotel|Mensageiro|||||Colaborador do site querfesta.com.br, Auxiliar administrativo, Mensageiro||||9|cv24020.xml
||||0|||Stefanini em DF|Analista de Suporte Help Desk|||4|Bachelor|Analista de Suporte Help Desk, Administração Geral (Analista)||||10|cv29807.xml
||||0|||UnB - Gestão de Políticas Públicas|Estagiário em desenvolvimento|||1|Secondary Education|Estagiário em desenvolvimento, Técnico em Informática||||7|cv18289.xml
|||||||CEVIU ­ Empregos de Informática(TI|QA /QC Testing|||4|Bachelor|QA, QA /QC Testing, Agente Bilingüe||||8|cv9423.xml
||||0|||CTIS IT Services em DF|Desenvolvedor JAVA|||4|Bachelor|Ensino Superior em Sistemas de Informação, Desenvolvedor JAVA, Desenvolvedor||||6|cv29561.xml
||||0|||Experience|Analista de sistemas|||||Analista Desenvolvedor de Sistemas||||6|cv21406.xml
|||||||ANTT - Agência Nacional de Transportes Terrestres - (Squadra Tecnologia)|Analista Desenvolvedor|||4|Bachelor|Desenvolvedor PHP e JAVA, Desenvolvedor .Net e PHP, Analista Desenvolvedor||||16|cv8941.xml
|||||||Fixti Soluções em tecnologia da informação|Suporte técnico|||||Teleatendimento|||||cv3512.xml
|||||||CENTRAL IT GOVERNANÇA|Documentadora|||4|Bachelor|Executor de Teste, Atendente de TI Nível 1||||3|cv16204.xml
|||||||Ministério da Justiça|Estagiário|||4|Bachelor|Estagiário||||1|cv27630.xml
||||||||Consultor|||4|Bachelor|Gestor de TI, Coordenador de TI, Coordenador de Service desk||||8|cv34396.xml
||||0|||Mastery Consulting|IT Consultant / System Engineer|||5|Master|Administrador de Redes (Tecnologia da Informação / Segurança da Informação), Analista de Redes Telecom, Analista de Redes Pleno||||14|cv37718.xml
|||||||ISPM SERVIÇOS DE INFORMÁTICA LTDA|Consultor de TI|||5|Master|Consultor de TI, Analista de Sistemas, Técnico em eletrônica||||19|cv19957.xml
|||||||X-Testing|Analista de Teste Júnior|||||Estagiária Analista Jr., Estagiária, Estagiária - Suporte Sistema de Ponto Eletrônico||||5|cv1690.xml
||||0|||Cisco Unified Computing Technology Support Specialist|CONSULTOR TÉCNICO|||4|Bachelor|CONSULTOR TÉCNICO, ENGENHEIRO DE SISTEMAS, COORDENADOR DE INFRAESTRUTURA E SISTEMAS - AVERAGE||||9|cv13886.xml
||||0|||Campo da Esperança Ltda|Suporte Técnico|||2|Vocational Education|Analista Computacional, Técnico em Suporte, Vigilante||||11|cv19786.xml
||||0|||Chief Technology Officer at BludWorks|Coordenador de Gestão de Riscos|||||Coordenador de Gestão de Riscos, Analista Legislativo, Técnico de Informática||||13|cv38508.xml
|||||||IOS|Gerente de Projetos|||4|Bachelor|Lider de Projetos, Analista de Requisitos Senior, Analista de Requisitos Pleno||||6|cv17412.xml
|||||||CLÍNICA ORTOPÉDICA HÉLIO SARDAS|Encarregada Administrativa|||||||||18|cv3840.xml
||||0|||TOPOCART - Topografia, Engenharia e Aerolevantamento|Analista Técnico em Suporte|||2|Vocational Education|Analista Técnico em Suporte, Analista Técnico em Informática, Assistente Administrativo||||5|cv36523.xml
||||0|||ESTUB|Auxiliar Administrativo|||||Estagiária, Técnica de TI, Programadora II|||||cv38832.xml
|||||||Mais 2x - Grupo TBA|Gerente de Projetos|||4|Bachelor|Líder de Operação e Preposto, Líder de Projeto, Técnico de Suporte em Hardware e Software||||8|cv17524.xml
|||||||INDRA Company (Caixa Econômica Federal - Brasília/DF)|Analista de Produção|||4|Bachelor|Estágio||||12|cv27417.xml
|||||||GRUPO MASTER|Assistente de T.I|||||Assistente de T.I||||14|cv10178.xml
||||0|||||||1|Secondary Education||||||cv33992.xml
|||||||Transdata Indústria e Serviços de Automação LTDA|Analista Junior III|||4|Bachelor||||||cv15686.xml
|||||||A serviço da MA Automotive Ltda|Engenheiro de Processos|||5|Master|Coordenador de Engenharia de Produto (Engineering Coordinator - Product Development), Engº Sênior, Project Manager||||21|cv25695.xml
|||||||DS Brasil|Estagiário|||4|Bachelor|Estagiário||||4|cv2661.xml
|||||||Hepta Tecnologia LTDA|Administrador de Banco de Dados|||4|Bachelor|Analista de Banco De Dados, Analista de Banco de Dados, Analista de Banco de Dados||||3|cv12913.xml
|||||||Stefanini TechTeam|Arquiteto de Software|||4|Bachelor|Arquiteto de Software, Analista de requisitos, Analista de sistemas||||12|cv4884.xml
|||||||MERCANTE TUBOS E AÇOS LTDA|Assistente de PCP|||4|Bachelor|||||8|cv2996.xml
||||0||||||||||||||cv23137.xml
|||||||Exército Brasileiro|Adjunto do SIPPES|||5|Master|Chefe de Seção de Informática, Supervisor de Atendimento a Suporte Técnico, Implementador de Sistema O&M||||15|cv34422.xml
|||||||Capgemini Consulting Technology Outsourcing|Analista de integração e migração dados|||4|Bachelor|Analista de integração dados||||3|cv13709.xml
||||0|||Experience|System Analyst|||||Bacharel em Engenharia de Computação, Tecnologia da Informação||||7|cv38394.xml
|||||||CTIS (TJDFT)|Analista de monitoração de rede|||4|Bachelor|Analista de monitoração de rede, Operador Noc - Data Center||||2|cv1530.xml
||||0|||Especializações|Analista de Sistemas II|||4|Bachelor|Analista de Sistemas, Analista de Sistemas, Programador WEB||||12|cv1172.xml
||||0|||JJD Alimentos Alimentícia|Gerente de T.I|||4|Bachelor|Diretor de Serviços, Consultor de Implantação SAP||||7|cv19179.xml
||||0|||Experience|Analista de TI|||||Professor, Coordenador, Diretor e, Programador, Programador||||26|cv21475.xml
||||0|||SHX INFORMÁTICA LTDA|Analista de Suporte Técnico Trainee|||4|Bachelor|Assistente de Suporte Técnico, Estagiária, Estagiária||||8|cv14836.xml
||||0|||||||4|Bachelor||||||cv33993.xml
|||||||Grupo ICTS|Analista de Requisitos Júnior|||4|Bachelor|Analista de Requisitos Júnior, Colaboração||||2|cv16182.xml
||||0|||EPROJ - Escritório|Gerente de Projetos|||5|Master|Especialista em Gerência de Projetos, Secretária, Quality Assurance||||25|cv14014.xml
|||||||Comércio de alimentos Brasiliense LTDA|Áuxiliar administrativo na àrea de T.I|||1|Secondary Education||||||cv13831.xml
|||||||Ministério da Saúde - MS|Consultora|||5|Master|Professora do Curso de Operador Administrador de Banco de, Coordenação de Desenvolvimento de Sistemas, Administradora de Banco de Dados||||17|cv3498.xml
|||||||||||1|Secondary Education||||||cv4482.xml
||||||||Monitor|||4|Bachelor|Educador Social|||||cv25367.xml
|||||||AnimalCode Tecnologia|Programado c# Júnior|||4|Bachelor|||||3|cv26328.xml
|||||||Softbox - Uberlândia, MG|Líder Técnico Java Senior|||4|Bachelor|||||4|cv5540.xml
||||0|||startup TGSTUDIO, localizada no Campus da Universidade de Brasília|ESTAGIÁRIO|||1|Secondary Education|ESTAGIÁRIO, Estágio, ESTAGIÁRIO||||3|cv18098.xml
|||||||Viação Quirinópolis|Atendente Comercial|||1|Secondary Education|Aux. Almoxarifado, Aux. Almoxarifado||||7|cv11264.xml
|||||||TIVIT|Atendente de Telemarketing|||4|Bachelor|Estagiário, Atendente de Telemarketing||||3|cv25440.xml
|||||||Cast Gruop|alocado|||4|Bachelor|alocado, Analista Desenvolvedor, Adm. de Recursos Humanos||||34|cv2475.xml
|||||||Spread Sistemas Brasília DF|Analista de Sistemas/Requisitos - Sênior|||5|Master|Analista de Sistemas - Oficial Técnico, Analista de Interface dos sistemas, Centro de Sustentação de Sistemas||||17|cv33568.xml
|||||||Etitec Indústria de Etiquetas|Analista de Sistemas/Processos/Infra|||5|Master|Gerente de Informática, Gerente Administrativo, Técnico em Informática/Laboratório||||18|cv34325.xml
