LanguageProficiencyCode|LanguageProficiencyCodeDescription|LanguageSkillCode|LanguageSkillCodeDescription|id
||||cv21749.xml
||||cv26428.xml
||||cv22359.xml
||||cv13892.xml
||||cv36981.xml
||||cv7688.xml
||||cv12422.xml
4|Advanced|EN|English|cv37469.xml
4|Advanced|ES|Spanish|cv37469.xml
||||cv22496.xml
||||cv6165.xml
5|Near Native|EN|English|cv2335.xml
5|Near Native|PT|Portuguese|cv2335.xml
||ES|Spanish|cv2335.xml
||FR|French|cv2335.xml
||||cv5958.xml
4|Advanced|PT|Portuguese|cv29031.xml
6|Native|FR|French|cv29031.xml
4|Advanced|EN|English|cv29031.xml
||||cv18566.xml
||||cv6635.xml
||EN|English|cv1710.xml
2|Basic Knowledge|DE|German|cv37351.xml
2|Basic Knowledge|LU|Luba-Katanga|cv37351.xml
4|Advanced|EN|English|cv26389.xml
||ES|Spanish|cv26389.xml
||||cv3830.xml
||||cv23994.xml
2|Basic Knowledge|EN|English|cv34492.xml
3|Intermediate|ES|Spanish|cv1713.xml
3|Intermediate|EN|English|cv1713.xml
4|Advanced|EN|English|cv29612.xml
6|Native|PT|Portuguese|cv29612.xml
||||cv2026.xml
||||cv19080.xml
||||cv20551.xml
4|Advanced|EN|English|cv15262.xml
4|Advanced|EN|English|cv9098.xml
||||cv9098.xml
5|Near Native|PT|Portuguese|cv27673.xml
2|Basic Knowledge|ES|Spanish|cv27673.xml
3|Intermediate|EN|English|cv27673.xml
||||cv5767.xml
3|Intermediate|EN|English|cv37775.xml
2|Basic Knowledge|ES|Spanish|cv37775.xml
4|Advanced|EN|English|cv20454.xml
||||cv26221.xml
3|Intermediate|EN|English|cv10912.xml
2|Basic Knowledge|ES|Spanish|cv10912.xml
||||cv34978.xml
||||cv37602.xml
||||cv15488.xml
3|Intermediate|EN|English|cv4580.xml
||||cv31130.xml
||||cv23144.xml
||||cv38857.xml
3|Intermediate|EN|English|cv2147.xml
3|Intermediate|EN|English|cv38892.xml
||ES|Spanish|cv38892.xml
4|Advanced|JA|japanese|cv38892.xml
||||cv22648.xml
||||cv22701.xml
||EN|English|cv1678.xml
||EN|English|cv1985.xml
||ES|Spanish|cv1985.xml
3|Intermediate|EN|English|cv1709.xml
3|Intermediate|EN|English|cv12447.xml
||||cv13961.xml
4|Advanced|EN|English|cv33363.xml
3|Intermediate|EN|English|cv27884.xml
||||cv22726.xml
||||cv11901.xml
4|Advanced|EN|English|cv32991.xml
||||cv38719.xml
3|Intermediate|EN|English|cv2617.xml
2|Basic Knowledge|ES|Spanish|cv2617.xml
||||cv14327.xml
3|Intermediate|EN|English|cv18563.xml
||||cv27651.xml
6|Native|PT|Portuguese|cv29348.xml
||||cv39333.xml
5|Near Native|PT|Portuguese|cv18606.xml
2|Basic Knowledge|EN|English|cv18606.xml
2|Basic Knowledge|ES|Spanish|cv18606.xml
||||cv34437.xml
||EN|English|cv6875.xml
3|Intermediate|PT|Portuguese|cv12248.xml
3|Intermediate|EN|English|cv12248.xml
||||cv4805.xml
||EN|English|cv1947.xml
4|Advanced|EN|English|cv24072.xml
||||cv32722.xml
6|Native|PT|Portuguese|cv24231.xml
3|Intermediate|EN|English|cv24231.xml
2|Basic Knowledge|ES|Spanish|cv24231.xml
5|Near Native|EN|English|cv4713.xml
4|Advanced|EN|English|cv27073.xml
||FR|French|cv27073.xml
4|Advanced|PT|Portuguese|cv27073.xml
||||cv22732.xml
||||cv10167.xml
4|Advanced|EN|English|cv15557.xml
||||cv12125.xml
||||cv15236.xml
||||cv32941.xml
4|Advanced|EN|English|cv29989.xml
2|Basic Knowledge|ES|Spanish|cv29989.xml
||EN|English|cv8272.xml
||EN|English|cv21176.xml
||ES|Spanish|cv21176.xml
3|Intermediate|EN|English|cv12792.xml
4|Advanced|EN|English|cv3797.xml
||||cv27626.xml
||||cv10947.xml
||||cv19773.xml
||||cv14806.xml
||||cv1321.xml
||||cv15362.xml
||||cv22494.xml
||EN|English|cv1132.xml
||FI|Finnish|cv1132.xml
5|Near Native|EN|English|cv34018.xml
4|Advanced|PT|Portuguese|cv34018.xml
||||cv11602.xml
||||cv30956.xml
6|Native|PT|Portuguese|cv19543.xml
2|Basic Knowledge|EN|English|cv19543.xml
3|Intermediate|EN|English|cv8232.xml
4|Advanced|EN|English|cv17602.xml
||EN|English|cv1717.xml
||ES|Spanish|cv17473.xml
||EN|English|cv17473.xml
4|Advanced|EN|English|cv33851.xml
||||cv6572.xml
||||cv27654.xml
2|Basic Knowledge|EN|English|cv18872.xml
||EN|English|cv569.xml
4|Advanced|EN|English|cv36597.xml
||||cv7660.xml
||||cv22196.xml
||||cv17255.xml
3|Intermediate|EN|English|cv20221.xml
||||cv7430.xml
6|Native|PT|Portuguese|cv29490.xml
6|Native|PT|Portuguese|cv37648.xml
5|Near Native|EN|English|cv37648.xml
2|Basic Knowledge|ES|Spanish|cv37648.xml
||||cv36244.xml
||EN|English|cv33456.xml
6|Native|PT|Portuguese|cv29365.xml
4|Advanced|EN|English|cv29365.xml
||EN|English|cv20094.xml
||EN|English|cv12979.xml
||EN|English|cv16186.xml
3|Intermediate|ES|Spanish|cv16186.xml
||EN|English|cv1520.xml
3|Intermediate|EN|English|cv33883.xml
||||cv25821.xml
3|Intermediate|EN|English|cv33751.xml
4|Advanced|ES|Spanish|cv33751.xml
||EN|English|cv34183.xml
||EN|English|cv39035.xml
||||cv26870.xml
||||cv26195.xml
4|Advanced|ES|Spanish|cv18440.xml
4|Advanced|CA|Catalan|cv18440.xml
4|Advanced|PT|Portuguese|cv18440.xml
6|Native|EN|English|cv18440.xml
3|Intermediate|EN|English|cv30824.xml
2|Basic Knowledge|ES|Spanish|cv30824.xml
||||cv37010.xml
4|Advanced|EN|English|cv4336.xml
4|Advanced|ES|Spanish|cv4336.xml
6|Native|PT|Portuguese|cv33388.xml
3|Intermediate|EN|English|cv33388.xml
2|Basic Knowledge|ES|Spanish|cv33388.xml
||ES|Spanish|cv2981.xml
||EN|English|cv2981.xml
4|Advanced|EN|English|cv6339.xml
5|Near Native|ES|Spanish|cv6339.xml
5|Near Native|EN|English|cv10061.xml
||||cv4496.xml
||||cv11451.xml
||EN|English|cv37959.xml
||ES|Spanish|cv37959.xml
6|Native|PT|Portuguese|cv29371.xml
4|Advanced|EN|English|cv29371.xml
||||cv22473.xml
3|Intermediate|EN|English|cv22966.xml
4|Advanced|FR|French|cv9525.xml
2|Basic Knowledge|EN|English|cv9525.xml
||EN|English|cv11950.xml
||ES|Spanish|cv11950.xml
||||cv8041.xml
2|Basic Knowledge|EN|English|cv24188.xml
4|Advanced|EN|English|cv14766.xml
3|Intermediate|EN|English|cv11782.xml
5|Near Native|EN|English|cv7903.xml
2|Basic Knowledge|ES|Spanish|cv7903.xml
4|Advanced|EN|English|cv3862.xml
5|Near Native|ES|Spanish|cv3862.xml
3|Intermediate|EN|English|cv29427.xml
6|Native|PT|Portuguese|cv29427.xml
3|Intermediate|ES|Spanish|cv29427.xml
||||cv19560.xml
||||cv3695.xml
5|Near Native|ES|Spanish|cv36103.xml
3|Intermediate|EN|English|cv36103.xml
6|Native|PT|Portuguese|cv36103.xml
4|Advanced|ES|Spanish|cv37601.xml
||EN|English|cv37601.xml
||||cv34358.xml
||||cv25607.xml
||||cv5326.xml
||PT|Portuguese|cv33038.xml
3|Intermediate|EN|English|cv36176.xml
3|Intermediate|EN|English|cv10348.xml
||||cv14840.xml
3|Intermediate|ES|Spanish|cv16170.xml
3|Intermediate|EN|English|cv16170.xml
3|Intermediate|EN|English|cv12191.xml
3|Intermediate|EN|English|cv33821.xml
||||cv7709.xml
6|Native|PT|Portuguese|cv29231.xml
||||cv25981.xml
4|Advanced|EN|English|cv20846.xml
4|Advanced|ES|Spanish|cv20846.xml
||||cv23073.xml
3|Intermediate|EN|English|cv27416.xml
||||cv20989.xml
||||cv38672.xml
||||cv22837.xml
2|Basic Knowledge|EN|English|cv10110.xml
||PT|Portuguese|cv10110.xml
||||cv22773.xml
||||cv13844.xml
3|Intermediate|EN|English|cv14706.xml
2|Basic Knowledge|FR|French|cv14706.xml
||||cv5561.xml
||EN|English|cv24411.xml
||||cv10650.xml
3|Intermediate|EN|English|cv19983.xml
||||cv38239.xml
||||cv17884.xml
||||cv27713.xml
||EN|English|cv38160.xml
||||cv16188.xml
||||cv7215.xml
2|Basic Knowledge|EN|English|cv15152.xml
||||cv26462.xml
3|Intermediate|EN|English|cv15204.xml
||||cv10885.xml
||||cv12490.xml
6|Native|ES|Spanish|cv34526.xml
3|Intermediate|EN|English|cv34526.xml
||||cv22222.xml
||||cv7405.xml
||||cv22336.xml
||||cv6115.xml
||EN|English|cv34535.xml
3|Intermediate|EN|English|cv1208.xml
3|Intermediate|ES|Spanish|cv1208.xml
||||cv22427.xml
3|Intermediate|EN|English|cv12872.xml
2|Basic Knowledge|EN|English|cv37948.xml
3|Intermediate|EN|English|cv12444.xml
3|Intermediate|EN|English|cv19256.xml
||EN|English|cv34441.xml
||||cv6148.xml
3|Intermediate|EN|English|cv33463.xml
4|Advanced|EN|English|cv15724.xml
3|Intermediate|FR|French|cv15724.xml
2|Basic Knowledge|ES|Spanish|cv15724.xml
2|Basic Knowledge|EN|English|cv7206.xml
||||cv1078.xml
||||cv25824.xml
||ES|Spanish|cv6918.xml
||EN|English|cv6918.xml
||||cv32649.xml
3|Intermediate|EN|English|cv12905.xml
||||cv38432.xml
||EN|English|cv9560.xml
3|Intermediate|EN|English|cv6915.xml
3|Intermediate|ES|Spanish|cv2097.xml
3|Intermediate|EN|English|cv2097.xml
3|Intermediate|EN|English|cv36686.xml
||||cv35358.xml
3|Intermediate|EN|English|cv1739.xml
||||cv23234.xml
||||cv6525.xml
3|Intermediate|EN|English|cv2217.xml
||||cv8968.xml
||||cv36858.xml
4|Advanced|PT|Portuguese|cv29190.xml
||||cv7680.xml
2|Basic Knowledge|EN|English|cv4518.xml
||||cv12285.xml
||EN|English|cv405.xml
2|Basic Knowledge|EN|English|cv36417.xml
||||cv12130.xml
||||cv11567.xml
5|Near Native|EN|English|cv34692.xml
3|Intermediate|EN|English|cv16005.xml
||||cv15791.xml
||||cv18175.xml
||||cv3824.xml
3|Intermediate|EN|English|cv12768.xml
||||cv38607.xml
||||cv18740.xml
||EN|English|cv5401.xml
||||cv21788.xml
||||cv33152.xml
||||cv20422.xml
4|Advanced|EN|English|cv26289.xml
2|Basic Knowledge|ES|Spanish|cv26289.xml
3|Intermediate|EN|English|cv14702.xml
2|Basic Knowledge|ES|Spanish|cv14702.xml
||||cv20983.xml
||||cv10405.xml
||EN|English|cv14533.xml
||||cv27346.xml
||||cv33020.xml
3|Intermediate|EN|English|cv8644.xml
||||cv38550.xml
||||cv26673.xml
4|Advanced|EN|English|cv9101.xml
||||cv7570.xml
3|Intermediate|EN|English|cv2701.xml
3|Intermediate|ES|Spanish|cv2701.xml
||||cv9550.xml
||EN|English|cv24195.xml
||||cv22606.xml
3|Intermediate|EN|English|cv27009.xml
||PT|Portuguese|cv27009.xml
3|Intermediate|||cv4398.xml
||||cv21555.xml
3|Intermediate|EN|English|cv1929.xml
2|Basic Knowledge|ES|Spanish|cv1929.xml
||||cv38027.xml
6|Native|PT|Portuguese|cv19214.xml
2|Basic Knowledge|EN|English|cv19214.xml
3|Intermediate|ES|Spanish|cv19214.xml
||||cv12586.xml
||EN|English|cv6864.xml
2|Basic Knowledge|DE|German|cv6864.xml
||||cv12930.xml
6|Native|PT|Portuguese|cv17733.xml
3|Intermediate|EN|English|cv17733.xml
2|Basic Knowledge|ES|Spanish|cv17733.xml
6|Native|PT|Portuguese|cv29488.xml
3|Intermediate|ES|Spanish|cv29488.xml
||||cv7090.xml
4|Advanced|EN|English|cv33932.xml
3|Intermediate|ES|Spanish|cv33932.xml
6|Native|PT|Portuguese|cv5736.xml
3|Intermediate|EN|English|cv5736.xml
||||cv20358.xml
||||cv34362.xml
||ES|Spanish|cv4114.xml
||EN|English|cv4114.xml
||||cv10166.xml
3|Intermediate|EN|English|cv13891.xml
3|Intermediate|ES|Spanish|cv13891.xml
||||cv20390.xml
||||cv36089.xml
3|Intermediate|EN|English|cv4973.xml
2|Basic Knowledge|EN|English|cv37633.xml
3|Intermediate|ES|Spanish|cv37633.xml
||||cv30493.xml
4|Advanced|EN|English|cv2096.xml
||||cv4738.xml
3|Intermediate|EN|English|cv36116.xml
5|Near Native|PT|Portuguese|cv36116.xml
||ES|Spanish|cv37764.xml
||EN|English|cv37764.xml
6|Native|PT|Portuguese|cv17260.xml
||EN|English|cv17260.xml
||||cv14521.xml
||||cv11921.xml
2|Basic Knowledge|EN|English|cv33804.xml
||||cv15955.xml
||EN|English|cv9624.xml
||||cv29999.xml
6|Native|PT|Portuguese|cv23214.xml
3|Intermediate|EN|English|cv23214.xml
4|Advanced|EN|English|cv9979.xml
||||cv36556.xml
||||cv38998.xml
4|Advanced|EN|English|cv24375.xml
3|Intermediate|ES|Spanish|cv24375.xml
4|Advanced|EN|English|cv22166.xml
4|Advanced|ES|Spanish|cv22166.xml
2|Basic Knowledge|IT|Italian|cv22166.xml
||||cv14739.xml
3|Intermediate|EN|English|cv10029.xml
||||cv22242.xml
||||cv25472.xml
6|Native|PT|Portuguese|cv29778.xml
2|Basic Knowledge|ES|Spanish|cv29778.xml
3|Intermediate|EN|English|cv29778.xml
3|Intermediate|EN|English|cv2123.xml
2|Basic Knowledge|EN|English|cv34694.xml
2|Basic Knowledge|ES|Spanish|cv34694.xml
3|Intermediate|EN|English|cv4761.xml
3|Intermediate|ES|Spanish|cv4761.xml
||||cv34177.xml
||EN|English|cv12463.xml
5|Near Native|ES|Spanish|cv12463.xml
4|Advanced|EN|English|cv7807.xml
||||cv5240.xml
5|Near Native|EN|English|cv17322.xml
||||cv39236.xml
||||cv30360.xml
||||cv4368.xml
||||cv18759.xml
||||cv12939.xml
||||cv8283.xml
||||cv33254.xml
||||cv31468.xml
3|Intermediate|EN|English|cv20128.xml
||||cv22521.xml
||EN|English|cv35069.xml
||FR|French|cv35069.xml
||||cv14528.xml
5|Near Native|EN|English|cv7942.xml
4|Advanced|EN|English|cv10208.xml
3|Intermediate|EN|English|cv8929.xml
2|Basic Knowledge|IT|Italian|cv8929.xml
3|Intermediate|ES|Spanish|cv8929.xml
||||cv26018.xml
||EN|English|cv17677.xml
2|Basic Knowledge|ES|Spanish|cv17677.xml
||||cv32851.xml
||||cv19222.xml
||||cv37725.xml
||||cv18755.xml
4|Advanced|EN|English|cv8815.xml
||||cv34124.xml
3|Intermediate|EN|English|cv1571.xml
||||cv12314.xml
||||cv11563.xml
||||cv8544.xml
||||cv5095.xml
||||cv26439.xml
||||cv39081.xml
3|Intermediate|EN|English|cv10445.xml
||||cv33679.xml
||||cv21623.xml
||||cv20845.xml
||||cv9366.xml
3|Intermediate|EN|English|cv30728.xml
3|Intermediate|EN|English|cv34768.xml
||||cv7553.xml
3|Intermediate|EN|English|cv9514.xml
3|Intermediate|EN|English|cv3176.xml
||||cv10610.xml
3|Intermediate|EN|English|cv2383.xml
4|Advanced|EN|English|cv30765.xml
||||cv22137.xml
||EN|English|cv1680.xml
2|Basic Knowledge|EN|English|cv14492.xml
3|Intermediate|ES|Spanish|cv14492.xml
||||cv34075.xml
4|Advanced|EN|English|cv37968.xml
||EN|English|cv13739.xml
3|Intermediate|EN|English|cv6442.xml
||||cv26224.xml
3|Intermediate|EN|English|cv5544.xml
||||cv5648.xml
2|Basic Knowledge|EN|English|cv10700.xml
3|Intermediate|EN|English|cv36217.xml
||||cv37472.xml
||EN|English|cv14340.xml
||||cv37519.xml
||||cv38208.xml
||||cv6176.xml
||EN|English|cv27208.xml
5|Near Native|EN|English|cv34754.xml
5|Near Native|ES|Spanish|cv34754.xml
2|Basic Knowledge|ES|Spanish|cv9587.xml
2|Basic Knowledge|EN|English|cv2903.xml
2|Basic Knowledge|ES|Spanish|cv2903.xml
2|Basic Knowledge|EN|English|cv2903.xml
3|Intermediate|EN|English|cv17916.xml
3|Intermediate|EN|English|cv29142.xml
6|Native|PT|Portuguese|cv29142.xml
4|Advanced|ES|Spanish|cv29142.xml
||EN|English|cv23227.xml
5|Near Native|PT|Portuguese|cv17459.xml
3|Intermediate|EN|English|cv17459.xml
||ES|Spanish|cv17459.xml
||||cv9162.xml
||||cv21440.xml
||||cv14203.xml
||EN|English|cv4943.xml
3|Intermediate|EN|English|cv1474.xml
||ES|Spanish|cv1474.xml
3|Intermediate|FR|French|cv5785.xml
||EN|English|cv5785.xml
||ES|Spanish|cv5785.xml
2|Basic Knowledge|EN|English|cv4524.xml
||||cv7256.xml
||EN|English|cv9392.xml
5|Near Native|ES|Spanish|cv9392.xml
||PT|Portuguese|cv9392.xml
||EN|English|cv7761.xml
||||cv38483.xml
4|Advanced|EN|English|cv16107.xml
5|Near Native|PT|Portuguese|cv15003.xml
||EN|English|cv15003.xml
6|Native|ES|Spanish|cv15003.xml
||FR|French|cv15003.xml
||DE|German|cv15003.xml
||EN|English|cv27311.xml
3|Intermediate|EN|English|cv2377.xml
5|Near Native|EN|English|cv14707.xml
2|Basic Knowledge|ES|Spanish|cv14707.xml
||||cv27584.xml
3|Intermediate|EN|English|cv26372.xml
||||cv26762.xml
4|Advanced|EN|English|cv36841.xml
2|Basic Knowledge|ES|Spanish|cv36841.xml
4|Advanced|EN|English|cv9329.xml
||||cv4018.xml
||||cv38839.xml
3|Intermediate|EN|English|cv19447.xml
||EN|English|cv8336.xml
6|Native|PT|Portuguese|cv8336.xml
||||cv8663.xml
||||cv8861.xml
||||cv22851.xml
||||cv23103.xml
||||cv5054.xml
||||cv27206.xml
||||cv7204.xml
4|Advanced|EN|English|cv33725.xml
2|Basic Knowledge|ES|Spanish|cv33725.xml
||||cv30879.xml
3|Intermediate|EN|English|cv7675.xml
3|Intermediate|EN|English|cv9454.xml
||||cv6623.xml
||||cv21858.xml
2|Basic Knowledge|ES|Spanish|cv14592.xml
2|Basic Knowledge|EN|English|cv14592.xml
4|Advanced|EN|English|cv2329.xml
2|Basic Knowledge|ES|Spanish|cv2329.xml
3|Intermediate|EN|English|cv17338.xml
||ES|Spanish|cv17338.xml
||||cv15393.xml
3|Intermediate|EN|English|cv29530.xml
6|Native|PT|Portuguese|cv29530.xml
||EN|English|cv8912.xml
||||cv4370.xml
4|Advanced|EN|English|cv13880.xml
3|Intermediate|EN|English|cv2197.xml
6|Native|PT|Portuguese|cv29341.xml
||||cv33878.xml
||||cv27573.xml
||||cv22583.xml
||||cv12652.xml
