id,schoolorinstitution_degree_comments,schoolorinstitution_degree_datesofattendance_enddate_anydate,schoolorinstitution_degree_datesofattendance_enddate_stringdate,schoolorinstitution_degree_datesofattendance_enddate_year,schoolorinstitution_degree_datesofattendance_enddate_yearmonth,schoolorinstitution_degree_datesofattendance_startdate_anydate,schoolorinstitution_degree_datesofattendance_startdate_year,schoolorinstitution_degree_datesofattendance_startdate_yearmonth,schoolorinstitution_degree_degreedate_anydate,schoolorinstitution_degree_degreedate_year,schoolorinstitution_degree_degreedate_yearmonth,schoolorinstitution_degree_degreemajor_name,schoolorinstitution_degree_degreemeasure_educationalmeasure_measuresystem,schoolorinstitution_degree_degreemeasure_educationalmeasure_measurevalue_stringvalue,schoolorinstitution_degree_degreeminor_name,schoolorinstitution_degree_degreename,schoolorinstitution_degree_userarea_degreeuserarea_graduated,schoolorinstitution_degree_userarea_degreeuserarea_id,schoolorinstitution_degree_userarea_degreeuserarea_normalizeddegreename,schoolorinstitution_degree_userarea_degreeuserarea_normalizeddegreetype,schoolorinstitution_postaladdress_countrycode,schoolorinstitution_postaladdress_municipality,schoolorinstitution_postaladdress_region,schoolorinstitution_school_schoolname
cv44631.xml, ensino medio - centro educacional 6 de taguatinga. -periodo: 2010 a 2012.,,,2012,,,2010,,,2012,,,,,,ensino medio,,deg-2,ensino medio,high school or equivalent,,,,centro educacional 6 de taguatinga
cv44631.xml, cursando tecnico em informatica (4o periodo) -escola tecnica de brasilia - etb,,,,,,,,,,,,,,,,false,deg-1,,some high school or equivalent,,,,escola tecnica de brasilia
cv45656.xml,escolaridade: ensino superior completo curso: tecnologo em gestao de rh,,,,,,,,,,,curso,,,,ensino superior,true,deg-1,ensino superior,some college,,,,
cv45288.xml,desenvolvimento em asp.net + c#  escola de informatica de brasilia                        (cursando)        freelancer        manutencao de site e conteudo fisico e digital chocohappy                        2017 - hoje                        edicao e manutencao do site da empresa chocohappy  bolos e doces                        decorados  criacao de marketing fisico e digital.        freelancer        manutencao de site e conteudo fisico e digital bonnevie spa                        2017 - hoje                        edicao e manutencao do site da empresa bonnevie spa  criacao de marketing fisico                        e digital.,,current,,,,2017,,,,,marketing,,,,,false,deg-3,,some high school or equivalent,,,,asp.net + c#  escola de informatica de brasilia
cv45288.xml,tecnico de redes  escola de informatica de brasilia,,,,,,,,,,,,,,,,,deg-2,,high school or equivalent,,,,redes  escola de informatica de brasilia
cv45288.xml,cursando engenharia de redes de comunicacao  universidade de brasilia cursando superior tecnico em suporte hardware  escola de informatica de brasilia,,,,,,,,,,,engenharia de redes,,,,,false,deg-1,,some high school or equivalent,br,brasilia,,suporte hardware  escola de informatica de brasilia
cv45848.xml,atualmente cursa o 8o semestre de sistemas de informacao no centro universitario udf.,,current,,,notknown,,,,,,,,,,,false,deg-1,,,,,,sistemas de informacao no centro universitario udf
cv44238.xml,06/2018 analise e desenvolvimento sistema (cursando) uninove - campus vila prudente,,,,2018-06,notknown,,,,,,,,,,,false,deg-1,,,,,,uninove
cv44238.xml,12/2014 tecnico em informatica senac - santo andre,,,,2014-12,notknown,,,,,2014-12,,,,,,,deg-2,,,br,santo andre,,senac
cv42373.xml,superior completo em gestao de recursos humanos faculdade anhanguera/ brasilia-df,,,,,,,,,,,gestao de recursos humanos,,,,df,true,deg-1,doctorate,doctorate,br,brasilia,df,faculdade anhanguera
cv45695.xml,graduacao: tecnologo em processamento de dados universidade catolica de brasilia concluido em: 2002,,,2002,,notknown,,,,2002,,,,,,graduacao,true,deg-1,bachelors,bachelors,,,,universidade catolica de brasilia
cv45359.xml,pos-graduacao em engenharia de software e gerenciamento de projetos - concluida em 2017. universidade de sao caetano do sul,,,2017,,notknown,,,,2017,,engenharia de software e gerenciamento,,,,pos-graduacao em engenharia de software e gerenciamento de projetos,true,deg-1,masters,masters,,,,universidade de sao caetano do sul
cv45359.xml,graduacao em sistemas de informacao - concluida em 2010 instituto educacional de santo andre,,,2010,,notknown,,,,2010,,sistemas de informacao,,,,graduacao em sistemas de informacao,true,deg-2,bachelors,bachelors,,,,instituto educacional de santo andre
cv45359.xml,tecnico em informatica - concluida em 2006 instituto pentagono de ensino,,,2006,,notknown,,,,2006,,,,,,,true,deg-3,,,,,,instituto pentagono de ensino
cv42382.xml, nivel superior em psicologia - udf  2017 (centro universitario udf)   cursando formacao em neuropsicologia (ibac  420h),,,2017,,notknown,,,,,,nivel superior,,,,,false,deg-1,,,,,,centro universitario udf
cv44694.xml,superior em analise e desenvolvimento de sistemas - uniceub - jun/2012,,,,2012-06,notknown,,,,,2012-06,,,,,,,deg-1,,,,,,uniceub
cv44694.xml,java iii(struts) jan/2008 - 40 horas escola tecnica de brasilia.,,,,2008-01,notknown,,,,,2008-01,,,,,,,deg-2,,high school or equivalent,,,,escola tecnica de brasilia
cv44694.xml,java ii (jdbc  jsp) nov/2007 - 40 horas escola tecnica de brasilia,,,,2007-11,notknown,,,,,2007-11,,,,,,,deg-3,,high school or equivalent,,,,escola tecnica de brasilia
cv44694.xml,java i  (j2se  swing) out/2007 - 40 horas escola tecnica de brasilia.,,,,2007-10,notknown,,,,,2007-10,,,,,,,deg-4,,high school or equivalent,,,,escola tecnica de brasilia
cv42862.xml, cursando o 7 periodo de psicologia na universidade de brasilia (unb) - inicio da graduacao: 2014/2,,,,2014-02,notknown,,,,,,psicologia,,,,graduacao,false,deg-1,bachelors,bachelors,,,,universidade de brasilia (unb)
cv45016.xml,centro universitario iesb curso: engenharia da computacao (cursando 2 semestre - noturno),,,,,,,,,,,engenharia da computacao,,,,,false,deg-1,,,,,,centro universitario iesb
cv43209.xml,ensino superior em gestao de recursos humanos- uniplan,,,,,,,,,,,gestao de recursos humanos,,,,ensino superior,,deg-1,ensino superior,some college,,,,uniplan
cv43209.xml,- mba em psicologia organizacional- instituto kalytek,,,,,,,,,,,psicologia organizacional,,,,mba,,deg-2,mba,mba,,,,instituto kalytek
cv44391.xml,curso: psicologia  instituicao: instituto de ensino superior de brasilia (iesb)  semestre: 9o previsao de conclusao: 2018,,,2018,,notknown,,,,,,psicologia,,,,ensino superior,false,deg-1,ensino superior,some college,,,,iesb
cv45868.xml,2016 universidade federal do estado do rio de janeiro  brasil bpm,,,2016,,notknown,,,,2016,,,,,,,,deg-1,,,br,rio de janeiro,,universidade federal do estado do rio de janeiro
cv45868.xml,2015 universidade federal do estado do rio de janeiro  brasil arquitetura empresarial,,,2015,,notknown,,,,2015,,arquitetura empresarial,,,,,,deg-2,,,br,rio de janeiro,,universidade federal do estado do rio de janeiro
cv45868.xml,2010 to 2011 james cook university  brisbane  australia international english language testing system,,,2011,,,2010,,,2011,,international english language testing system,,,,,,deg-3,,,au,brisbane,,james cook university
cv45868.xml,2006 to 2008 universidade de sao paulo  brasil especializacao em governanca em tecnologia de informacao,,,2008,,,2006,,,2008,,governanca,,,,,,deg-4,,,br,sao paulo,,universidade de sao paulo
cv45868.xml,2001 to 2005 universidade radial de sao paulo  brasil bachalerado em administracao com enfase analise de sistema,,,2005,,,2001,,,2005,,bachalerado,,,,,,deg-5,,,br,sao paulo,,universidade radial de sao paulo
cv45868.xml,1997 to 2000 senai  sao paulo  brasil tecnico em telecomunicacoes,,,2000,,,1997,,,2000,,tecnico,,,,,,deg-6,,,br,sao paulo,,senai
cv43250.xml,graduacao em gestao empresarial - faculdade de tecnologia de sao paulo - fatec.     coursera -  programacao orientada a objetos  java.     coursera -  programming for everybody python.     codecademy - learn java.     coursera -  ruby on rails.     codecademy - ruby.     codecademy - ruby on rails.     codecademy - learn git.     codecademy - angularjs.     codecademy - html/css.     codecademy -  php.     codecademy - javascript.     codecademy - jquery.,,,,,,,,,,,gestao empresarial,,,,graduacao em gestao empresarial,,deg-1,bachelors,bachelors,br,sao paulo,,faculdade de tecnologia de sao paulo - fatec
cv43959.xml,* graduacao em ciencia da computacao - universidade santa cecilia  santos  sp  2001 ;,,,2001,,notknown,,,,2001,,ciencia da computacao,,,,graduacao em ciencia da computacao,,deg-1,bachelors,bachelors,br,santos,sp,universidade santa cecilia
cv43959.xml,* experiencia com academia sap  nos modulos:  fs240  banking & financial services(banking services) ;  fs241  loans management in sap banking services 8.0 ;  fs242  deposits management in sap banking services 8.0 ;  fs225  collateral management (banking services) ;  fs250  bank analyser overview (banking services) ;  fs243c  postprocessing office in banking services. * bons conhecimentos em ab2 2.1  sql 6.5/2000/2005/2008  c++ 1.52  vb6.0  c#  ppmcenter (hp)  vb.net  oracle e java ; * ferramentas e linguagens: solman  aris  mercury  pascal  cobol  erwin  delphi  asp  html  oracle8 e 9  xml  visio ; * ingles fluente (leitura  escrita  conversacao). * espanhol intermediario (leitura e conversacao) e basico (escrita).,,,,,,,,,,,banking & financial services,,,,,,deg-2,,,,,,experiencia com academia sap
cv44133.xml, universidade ibirapuera ciencia da computacao - concluido.,,,,,,,,,,,ciencia da computacao,,,,,true,deg-1,,,,,,universidade ibirapuera
cv44365.xml," mba pos graduacao ""psicologia organizacional"" - previsto para ser concluido no ano de 2019 - (instituto kalytek) ;",,,2019,,notknown,,,,,,"""psicologia organizacional"" - previsto para ser",,,,mba,false,deg-1,mba,mba,,,,
cv44365.xml," ensino superior - ""gestao de recursos humanos"" - concluido em junho de 2013 (faculdade senac 903 sul).",,,,2013-06,notknown,,,,,2013-06,gestao de recursos humanos,,,,ensino superior,true,deg-2,ensino superior,some college,,,,faculdade senac
cv39596.xml,universidade paulista analise e desenvolvimento  analise de sistemas de computacao  2016 - 2018,,,2018,,,2016,,,,,sistemas de computacao,,,,,false,deg-1,,,,,,universidade paulista
cv39596.xml,universidade paulista analise e desenvolvimento de sistemas  tecnologia em tecnologia da informacao/sistemas da informacao  2015 - 2018,,,2018,,,2015,,,,,tecnologia,,,,,false,deg-2,,,,,,universidade paulista
cv44395.xml,gestao de recursos humanos - cra/df no 03-03243 faculdade de tecnologia senac 903 sul  pos-graduacao - treinamento  desenvolvimento e educacao corporativa faculdade de tecnologia senac 903 sul (noturno - conclusao 12/2018),,,,2018-12,notknown,,,,,,gestao de recursos humanos,,,,df,false,deg-1,doctorate,doctorate,fr,senac,,faculdade de tecnologia
cv43062.xml,2016 - graduacao em psicologia na universidade catolica de brasilia - ucb,,,2016,,notknown,,,,2016,,psicologia,,,,graduacao em psicologia,,deg-1,bachelors,bachelors,,,,universidade catolica de brasilia - ucb
cv43062.xml,2012 - curso de ingles no centro interescolar de linguas de brasilia (cil 01- brasilia),,,2012,,notknown,,,,2012,,,,,,,,deg-2,,,br,brasilia,,centro interescolar de linguas de brasilia
cv39525.xml,pluralsight 2015 - 2016 fundacao getulio vargas,,,2016,,,2015,,,2016,,,,,,,,deg-1,,,,,,fundacao getulio vargas
cv39525.xml,mba in business strategies  business administration and management  general  2000 - 2001 universidade catolica de brasilia,,,2001,,,2000,,,2001,,business strategies  business administration and management  general,,,,mba,,deg-2,mba,mba,,,,universidade catolica de brasilia
cv39525.xml,bacharelado em ciencias da computacao (bachelor's degree in computer science)  computer science  1994 - 1998 activities and societies: catholic university of brasilia (ucb),,,1998,,,1994,,,1998,,computer science,,,,bacharelado em ciencias da computacao,,deg-3,bachelors,bachelors,,,,catholic university of brasilia (ucb)
cv44179.xml,2004 mba em gestao estrategica da ti fgv management porto alegre,,,2004,,notknown,,,,2004,,gestao estrategica da ti,,,management,mba,,deg-1,mba,mba,,,,fgv management porto alegre
cv44179.xml,1997 bacharelado em administracao de empresas com enfase em analise de sistemas puc-rs,,,1997,,notknown,,,,1997,,enfase,,,,bacharelado em administracao de empresas,,deg-2,bachelors,bachelors,,,,
cv42380.xml,centro de ensino unificado de brasilia - uniceub psicologia - 6o semestre/ matutino conclusao em: 07/2020,,,,2020-07,notknown,,,,,,psicologia,,,,,false,deg-1,,,,,,centro de ensino unificado de brasilia - uniceub
cv44796.xml,universidade estacio de sa formado em gestao de recursos humanos - 2012  - martins penna rj,,,2012,,notknown,,,,2012,,formado,,,,,,deg-1,,,,,,universidade estacio de sa
cv43422.xml,2002 - 2006 bacharel em sistemas de informacao nivel 6 qrq faculdade santa terezinha/anhanguera principais competencias adquiridas: *   projeto e analise de sistemas *   modelagem de bancos de dados *   logica e programacao *   redes de computadores,,,2006,,,2002,,,2006,,nivel 6 qrq,,,,bacharel em sistemas de informacao,,deg-1,bachelors,bachelors,,,,faculdade santa terezinha/anhanguera
cv44770.xml,mba em gestao de projetos - faculdade fiap,,,,,,,,,,,gestao de projetos,,,,mba,,deg-1,mba,mba,,,,faculdade fiap
cv44770.xml,sistemas de informacao - faculdade ibta,,,,,,,,,,,,,,,,,deg-2,,,,,,faculdade ibta
cv44770.xml,tecnico em arte e designer - escola panamericana de artes,,,,,,,,,,,tecnico,,,,,,deg-3,,high school or equivalent,,,,escola panamericana de artes
cv44247.xml,curso: mba - gestao de projetos conclui  em: 09/2014  *  terceiro  grau  -  graduacao (nivel superior) universidade: unip  -  universidade  paulista curso: administracao  com  enfase  analise  de  sistemas,,,,2014-09,notknown,,,,,2014-09,gestao de projetos,,,,mba,,deg-2,mba,mba,br,paulista,,unip  -  universidade  paulista
cv44247.xml,conclui  em: 12/1996  *  segundo  grau  -  tecnico  em  processamento  de  dados colegio: colegio  castro  alves,,,,1996-12,notknown,,,,,1996-12,,,,,,,deg-3,,,br,castro,,colegio  castro  alves
cv44247.xml,*  mba  -  pos-graduacao universidade: unip  -  universidade  paulista,,,,,,,,,,,pos-graduacao,,,,mba,,deg-1,mba,mba,br,paulista,,unip  -  universidade  paulista
cv44233.xml,mba em gestao de ti - fiap (2009),,,2009,,notknown,,,,2009,,gestao de ti,,,,mba,,deg-1,mba,mba,,,,fiap
cv44233.xml,mba em gestao empresarial - fgv (2003),,,2003,,notknown,,,,2003,,gestao empresarial,,,,mba,,deg-2,mba,mba,,,,fgv
cv44233.xml,graduacao em processamento de dados - faculdade italo brasileira (1992),,,1992,,notknown,,,,1992,,dados,,,,graduacao em processamento de dados,,deg-3,bachelors,bachelors,,,,faculdade italo brasileira
cv45564.xml,mba em   gestao e governanca em ti  faculdade projecao - brasilia  setembro/2014 - concluida,,,,2014-09,notknown,,,,,2014-09,gestao e governanca,,,,mba,true,deg-2,mba,mba,br,brasilia,,faculdade projecao
cv45564.xml,  graduacao bacharelado em ciencias da computacao  universidade catolica de brasilia (dezembro/2005) - concluida,,,,2005-12,notknown,,,,,2005-12,,,,,graduacao,true,deg-1,bachelors,bachelors,,,,universidade catolica de brasilia
cv43537.xml, puc - minas pocos de caldas / mg pos-graduacao em engenharia de sistemas baseado em tecnologia java - concluido em 2012   centro universitario newton paiva /mg,,,2012,,notknown,,,,2012,,engenharia de sistemas baseado,,,tecnologia,pos-graduacao em engenharia de sistemas baseado em tecnologia java,true,deg-1,masters,masters,br,pocos de caldas,mg,centro universitario newton paiva /mg
cv44593.xml,fiap   mba em gestao de projetos com praticas do pmi   interrompido (jul / 2016),,,,2016-07,notknown,,,,,2016-07,praticas do pmi,,,,mba,,deg-1,mba,mba,,,,fiap
cv44593.xml,centro universitario sant'anna   graduacao ciencia da computacao   concluido (dez / 2004),,,,2004-12,notknown,,,,,2004-12,ciencia da computacao,,,,graduacao,true,deg-2,bachelors,bachelors,,,,centro universitario sant'anna
cv44869.xml, pos graduacao: escola paulista de direito (epd) direito previdenciario e trabalhista - concluido dezembro/2017,,,,2017-12,notknown,,,,,2017-12,direito previdenciario e trabalhista,,,,pos graduacao,true,deg-2,bachelors,bachelors,,,,escola paulista de direito
cv44869.xml, ensino superior: fmu - faculdades metropolitanas unidas psicologia -  concluido dezembro/2013 ,,,,2013-12,notknown,,,,,2013-12,psicologia,,,,ensino superior,true,deg-3,ensino superior,some college,,,,fmu - faculdades metropolitanas unidas
cv44869.xml, ensino tecnico: - senac santo amaro gestao empresarial- concluido: julho/2005.,,,,2005-07,notknown,,,,,2005-07,gestao empresarial,,,,ensino tecnico,true,deg-4,ensino tecnico,high school or equivalent,,,,senac santo amaro
cv44869.xml, pos graduacao: universidade paulista unip  escola paulista de direito (epd) saude mental multiprofissional - universidade paulista - cursando ;,,,,,,,,,,,,,,,pos graduacao,false,deg-1,bachelors,bachelors,,,,universidade paulista unip  escola paulista de direito
cv44073.xml,curso tecnico - eletronica - cefet belo horizonte curso superior - ciencia da computacao - puc coracao eucaristico belo horizonte - fev 2003 a dez 2007 curso pos-graduacao - planejamento e gerencia de projetos - unigap (incompleto),,,,2007-12,,,2003-02,,,,gerencia de projetos,,,,pos-graduacao,false,deg-1,masters,masters,,,,
cv43749.xml,mba em gestao de tecnologia da informacao  fiap. concluido em setembro/2015.,,,,2015-09,notknown,,,,,2015-09,gestao de tecnologia da informacao,,,,mba,true,deg-1,mba,mba,,,,fiap
cv43749.xml,bacharelado em ciencia da computacao  faculdades associadas de sao paulo (fasp) concluido em 2003.,,,2003,,notknown,,,,2003,,ciencia da computacao,,,,bacharelado em ciencia da computacao,true,deg-2,bachelors,bachelors,br,sao paulo,,faculdades associadas de sao paulo (fasp)
cv43693.xml,  tecnologo em analise e desenvolvimento de sistemas - uninove - universidade nove de julho - 2013 - 2015.    segundo grau completo.,,,2015,,,,2013-07,,2015,,,,,,,true,deg-1,,,,,,uninove - universidade nove
cv44262.xml,colegio estadual democratico de ibitita ensino medio: completo conclusao: 2012 a 2015,,,2015,,,2012,,,2015,,,,,,ensino medio,true,deg-1,ensino medio,high school or equivalent,,,,colegio estadual democratico de ibitita
cv40326.xml,curso sistemas para internet universidade estacio de sa  rio de janeiro - brasil 2008-2011 concluido - 2069 horas,,,2011,,,2008,,,2011,,,,,,,true,deg-1,,,br,rio de janeiro,,internet universidade estacio de sa
cv45086.xml,universidade municipal de sao caetano do sul uscs - psicologia 5o semestre universidade metodista de sao paulo - gestao da tecnologia da informacao (trancado),,,,,,,,,,,gestao da tecnologia,,,,,,deg-1,,,,,,universidade municipal de sao caetano do sul uscs - psicologia
cv42739.xml, escolaridade formacao superior (cursando).   graduacao psicologia  iesb - cursando 8 semestre.,,,,,,,,,,,psicologia,,,,graduacao,false,deg-1,bachelors,bachelors,,,,iesb
cv39495.xml,iesb especializacao em dispositivos moveis  android  ios  windows phone  2015 - 2016,,,2016,,,2015,,,2016,,,,,,,,deg-1,,,,,,iesb
cv39495.xml,faculdade projecao bacharelado em sistemas de informacao  sistemas de informacoes  2009 - 2012,,,2012,,,2009,,,2012,,sistemas de informacoes,,,,bacharelado em sistemas de informacao,,deg-2,bachelors,bachelors,,,,faculdade projecao
cv45457.xml,mba fmu - faculdades metropolitanas unidas gestao de pessoas conclusao - set/2018,,,,2018-09,notknown,,,,,,gestao de pessoas,,,,mba,false,deg-1,mba,mba,,,,fmu - faculdades metropolitanas unidas
cv45457.xml,graduacao universidade ibirapuera gestao em recursos humanos - dez/2009,,,,2009-12,notknown,,,,,2009-12,gestao,,,,graduacao,,deg-2,bachelors,bachelors,,,,universidade ibirapuera
cv45764.xml,mba gestao de projetos - universidade estacio de sa - concluido em dezembro 2015.,,,,2015-12,notknown,,,,,2015-12,gestao,,,,mba,true,deg-2,mba,mba,,,,projetos - universidade estacio de sa
cv45764.xml,graduacao redes de telecomunicacoes - universidade estacio de sa - concluida em dezembro 2010.   certificacao,,,,2010-12,notknown,,,,,2010-12,redes de telecomunicacoes,,,,graduacao,true,deg-3,bachelors,bachelors,,,,universidade estacio de sa
cv45764.xml,mba gestao empresarial - universidade veiga de almeida - cursando.,,,,,,,,,,,gestao empresarial,,,,mba,false,deg-1,mba,mba,,,,universidade veiga de almeida
cv42637.xml,  graduando em psicologia. faculdade unip  conclusao em 2018.,,,2018,,notknown,,,,,,graduando,,,,,false,deg-1,,,,,,faculdade unip
cv42637.xml,  graduando em gestao de recursos humanos. faculdade cruzerio do sul  conclusao em 2018.,,,2018,,notknown,,,,,,graduando,,,,,false,deg-2,,,,,,faculdade cruzerio do sul
cv42637.xml,  ensino medio completo. e. e. padre jose monticone  conclusao em 2008.,,,2008,,notknown,,,,2008,,e. e. padre jose monticone,,,,ensino medio completo,true,deg-3,ensino medio completo,high school or equivalent,,,,
cv43814.xml,/ formacao academica   curso: certificacao scrum master - csm nivel: certificacao situacao: concluido conclusao: 04/2016 instituicao: scrum alliance  curso: mba em engenharia de software com enfase em projeto,,,,2016-04,notknown,,,,,2016-04,enfase,,,,mba,true,deg-1,mba,mba,,,,scrum alliance
cv43814.xml,nivel: especializacao situacao: concluido conclusao: 12/2006 instituicao: uniao pioneira de integracao social - brasilia-df  curso: tecnologia em processamento de dados,,,,2006-12,notknown,,,,,2006-12,situacao,,,,,true,deg-2,,,br,brasilia,df,uniao pioneira de integracao social
cv43814.xml,nivel: superior situacao: concluido conclusao: 12/2003 instituicao: uniao pioneira de integracao social - brasilia-df   idioma  idioma: ingles entende: basico fala: basico ler/escreve: intermediario,,,,2003-12,notknown,,,,,2003-12,,,,,,true,deg-3,,,br,brasilia,df,uniao pioneira de integracao social
cv43510.xml,graduacao 1 instituicao: faculdade fmu grau de formacao: design grafico nome do curso: desenho industrial ano atual: formado data inicio: 2006,,,,,,,,,,,design grafico,,,,graduacao,,deg-1,bachelors,bachelors,,,,faculdade fmu
cv43525.xml, scrum fundamentals certified (sfc(tm))  scrumstudy academy (2018)  blockchain for business - edx (cursando)  red hat openstack - technical overview (cl010) (cursando),,,2018,,notknown,,,,,,blockchain for business,,,,,false,deg-1,,,,,,scrumstudy academy
cv43525.xml, redesenho de processos de negocio: pontificia universidad catolica do peru (2004),,,2004,,notknown,,,,2004,,redesenho de processos,,,,,,deg-2,,,,,,pontificia universidad catolica do peru
cv44367.xml,personal & profissional coaching / aic - academia internacional de coaching (conclusao: marco/2015).,,,,2015-03,notknown,,,,,2015-03,,,,,,,deg-1,,,,,,academia internacional de coaching
cv44367.xml,graduacao em recursos humanos / universidade anhanguera-uniderp. (conclusao: junho/2011).,,,,2011-06,notknown,,,,,2011-06,recursos humanos,,,,graduacao,,deg-2,bachelors,bachelors,,,,universidade anhanguera-uniderp
cv45101.xml,pos-graduacao em engenharia de software - universidade sao judas tadeu (conclusao em 09/2016).,,,,2016-09,notknown,,,,,2016-09,engenharia de software,,,,pos-graduacao em engenharia de software,,deg-1,masters,masters,,,,universidade sao judas tadeu
cv45101.xml,graduacao em comunicacao para web - universidade paulista - unip (conclusao em 12/2007).,,,,2007-12,notknown,,,,,2007-12,web,,,,graduacao em comunicacao para web,,deg-2,bachelors,bachelors,,,,universidade paulista - unip
cv42152.xml,especializacao em analise comportamental clinica - instituto brasiliense de analise do comportamento ibac - previsao de termino: 01/2019,,,,2019-01,notknown,,,,,,,,,,,false,deg-2,,,,,,instituto brasiliense de analise do comportamento ibac
cv42152.xml,bacharelado em psicologia - centro universitario udf - conclusao: 2017,,,2017,,notknown,,,,2017,,psicologia,,,,bacharelado em psicologia,,deg-1,bachelors,bachelors,,,,centro universitario udf
cv43176.xml,   2016/2018 - mba em gestao estrategica de pessoas - especializacao presencial - universidade estacio de sa.,,,2018,,,2016,,,,,presencial,,,,mba,false,deg-4,mba,mba,,,,universidade estacio de sa
cv43176.xml,   dez/ 2011 - termino do ensino superior na ucb -  universidade catolica de brasilia no curso de servico social.,,,,2011-12,notknown,,,,,2011-12,servico social,,,,ensino superior,,deg-3,ensino superior,some college,,,,ucb -  universidade catolica de brasilia
cv43176.xml,   2010 / 2011 - estagio supervisionado em servico social no abrigo reencontro de taguatinga/df (abrire). area: crianca e adolescente - 01 ano.,,,2011,,,2010,,,2011,,abrire,,,,df,,deg-2,doctorate,doctorate,,,,
cv43176.xml,   dez/ 2007 - termino do ensino medio no colegio santa teresinha.     2008 / 2009 / 2010 - treinamentos em recursos humanos e departamento de pessoal.,,,,2007-12,notknown,,,,,2007-12,,,,,ensino medio,,deg-1,ensino medio,high school or equivalent,,,,colegio santa teresinha
cv44313.xml,   ensino medio - centro de ensino medio taguatinga norte - cemtn - concluido em 2015,,,2015,,notknown,,,,2015,,,,,,ensino medio,true,deg-2,ensino medio,high school or equivalent,,,,centro de ensino medio taguatinga norte
cv44313.xml,   centro de ensino euro americano - unieuro - sistemas de informacao - 5 semestre,,,,,,,,,,,,,,,,,deg-1,,,,,,centro de ensino euro americano - unieuro
cv42425.xml,ensino medio completo faculdade de gestao de recursos humanos 3 semestre (cursando),,,,,,,,,,,,,,,ensino medio completo,false,deg-1,ensino medio completo,high school or equivalent,,,,faculdade de gestao de recursos humanos 3
cv43515.xml,gestao de sistemas da informacao - uninove mba gestao de projetos - usp,,,,,,,,,,,gestao de projetos,,,,mba,,deg-1,mba,mba,,,,uninove
