id,traininghistory_text,traininghistory_training_description,traininghistory_training_enddate_anydate,traininghistory_training_enddate_stringdate,traininghistory_training_enddate_year,traininghistory_training_enddate_yearmonth,traininghistory_training_entity,traininghistory_training_qualifications_qualification,traininghistory_training_startdate_anydate,traininghistory_training_startdate_stringdate,traininghistory_training_startdate_year,traininghistory_training_startdate_yearmonth,traininghistory_training_type
cv43209.xml,curso tecnico de gerencia em saude- pronatec,curso tecnico de gerencia em saude- pronatec,,,,,,,,,,,unknown
cv44391.xml,curso: basico (windows  word  excel  power point  corelldraw  dreanweaver  internet  aplicativos de escritorio). curso: psicopatologia forense / semana da saude mental / sexualidade e deficiencia,curso: psicopatologia forense / semana da saude mental / sexualidade e deficiencia,,,,,,,,,,,unknown
cv44133.xml,visual basic  linux  php e mysql.  mcs-it formacao profissional em java.  tekno software html  javascript  xml  dreamweaver  flash e asp.,html  javascript  xml  dreamweaver  flash e asp,,,,,,,,,,,unknown
cv44395.xml,~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~   assistente de recursos humanos - senac 903 sul (2016)   analista de recursos humanos - senac 903 sul (2017)   departamento de pessoal (sistema dexion) - vision consultoria (2017)   gestao de cargos e salarios - prime cursos (2017)   recrutamento e selecao - prime cursos (2017) ,recrutamento e selecao - prime cursos (2017),,,2017,,vision consultoria,,,,,,unknown
cv44179.xml,(mais relevantes)  2013 showcase apgm 2013 londres apgm intercambio de ingles (7 semanas) ec (english language centres - londres) 2012 cursos ead de itil foundation ed. 2011  cobit 4.1 e 5 e iso/iec 20000 foundation tiexames 2009 formacao em metodos ageis - gerenciamento de projetos com scrum puc-rs e stefanini it solutions 2008 ms-project 2003 e windows share point services puc-rs gerencia de projetos  gerencia de requisitos e metodologia mps.br software process 2007 capacitacao em gerenciamento de projetos e preparacao para exame pmp do pmi pmtech 2005 qualidade em gerenciamento de projetos e engenharia de software onbiz 2003 gerencia de projetos teclogica solucao em sistemas 2001 processos de negocios e modulo financeiro do sap r/3 ids scheer 2000 intercambio de ingles (4 semanas) lsc (language studies canada - vancouver) 1999 cursos de introducao abap development workbench  abap relatorios  abap dictionary  abap programacao de interfaces sap brasil 1998 cursos de as/400 - conceitos e recursos  linguagem de controle  projeto banco de dados relacional as/400  db2/400  projeto de programa interativo e cobol/400 centro educacional itautec  outros conhecimentos: - aplicacoes mais relevantes: ms epm  ms project  clarity  ibm rational (rrc  rtc e rqm). - metodologias  modelos e praticas de gestao e garantia da qualidade: pmbok  prince ii  cmmi  mps.br  scrum  itil  iso/iec 20000  6 sigma  cobit  bsc  apf  ucp  uml  rup  swebok  safe  design thinking  business model canvas entre outros.  redes sociais: https://www.linkedin.com/in/roberto-kaminski-160b235/ ,redes sociais: https://www.linkedin.com/in/roberto-kaminski-160b235,,,1998,,ucp,pmp,,,2011,,unknown
cv44796.xml,lideranca e gestao- estacio de sa -2015 - desenvolvimento de consultores internos - senac 2103 - processos de rh - senac -2011   arte cenica - 2003 ,arte cenica - 2003,,,2003,,senac,,,,,,unknown
cv43422.xml,*   docker: compreendendo e utilizando *   ejb 3 com jboss *   introducao a estrutura de dados com a linguagem c *   j2ee *   postgresql *   programacao java *   seguranca no desenvolvimento de software competencias pessoais outras linguas compreender falar escrever compreensao oral leitura interaccao oral producao oral ingles b1 b1 b1 b1 b1 indique o titulo do certificado/diploma de linguas. caso saiba  especifique o nivel. curriculum vitae leandro fabricio sarmento de oliveira batista espanhol a1 a1 a1 a1 a1 indique o titulo do certificado/diploma de linguas. caso saiba  especifique o nivel. niveis: a1/a2: utilizador basico - b1/b2 utilizador independente - c1/c2: utilizador avancado quadro europeu comum de referencia para as linguas competencias de boa capacidade de comunicacao adquiridas atraves da experiencia profissional comunicacao,comunicacao,,,,,,,,,,,unknown
cv44770.xml,treinamento master mind lince: lideranca  inteligencia interpessoal e comunicacao eficaz kanban oficial lku  software zen treinamento evdnc (extreme value-driven coaching) atividades: disseminacao de ferramentas e praticas como management 3.0  scrum  safe  kanban  xp lean startup  conceitos de historias de usuarios  grooming backlog  programacao em pares  diferentes tipos de retrospectiva  integracao e entrega continua  automacao de testes e etc  visando maximizar a produtividade (equilibrio entre eficiencia e eficacia) do time. experiencia de administracao do jira  confluence. treinamento  coaching de equipes e coaching individual para potencializar o sucesso na adocao de praticas ageis  atuando como observador  mediador  facilitador e instrutor para garantir que os principios e valores ageis se traduzam em praticas cotidianas do time  com efeito multiplicador para o nivel empresarial.,empresarial,,,,,,,,,,,unknown
cv44247.xml,conclui  em: 12/1992,conclui  em: 12/1992,,,,1992-12,,,,,,,unknown
cv45564.xml,ingles avancado  flow idioms (dezembro/1992) treinamento etl e olap com a ferramenta sagent solution - ctis informatica ltda. (outubro/2003) auditor interno da norma iso 9001:2000  vgs informatica (fevereiro/2006) preparatorio para prova de certificacao em starteam  bluestar (junho/2006) preparatorio para certificacao pmp  projecta group (julho/2008) treinamento em teste com a ferramenta rsi-qa-teste (outubro/2009) treinamento em ferramentas da compuware para mainframe (novembro/2009) ,treinamento em ferramentas da compuware para mainframe (novembro/2009),,,,2009-11,preparatorio para certificacao pmp  projecta group,pmp,,,,,unknown
cv43049.xml,uni sant'anna  analise de sistemas   2001 - 2004,uni sant'anna  analise de sistemas   2001 - 2004,,,2004,,,,,,2001,,unknown
cv43537.xml,gestao da tecnologia da informacao - concluido em 2010,gestao da tecnologia da informacao - concluido em 2010,,,2010,,tecnologia da informacao - concluido,,,,,,unknown
cv44593.xml,* itil foundationv3 - trainning * cobit foundation 4.0 - trainning * gerenciamento de projetos - pricewaterhousecoopers * ms-project - pricewaterhousecoopers * levantamento de requisitos - aspercom * orientacao a objetos com uml 2.0 - aspercom * mapeamento de riscos - pricewaterhousecoopers * mapeamento de processos / bpm - pricewaterhousecoopers,mapeamento de processos / bpm - pricewaterhousecoopers,,,,,cobit foundation,,,,,,unknown
cv43530.xml,consegui aprimorar o gerenciamento do tempo trabalhando no desenvolvimento de sistemas focado em  certificacoes alta-plataforma sendo uma experiencia incrivel. -   psm i (professional scrum master) querendo aprender coisas novas e novos negocios entrei -   pspo i (professional scrum product owner) na stefanini onde trabalhei com o sistema de -   asf (agile scrum foundation) renegociacao de dividas realizando a integracao com -   cobit - foundation (control objectives for diversos outros sistemas. em busca de novos desafios em information and related technologies) 2010 entrei na prime informatica onde estou -   itil - foundation (information technology trabalhando nos sistemas de cadastros de clientes  infrastructure library). cadastro de contas e segmentacao de clientes.  habilidades tecnicas,habilidades tecnicas,,,2010,,prime informatica,,,,,,unknown
cv44869.xml,"  testes psicologicos: tas  quati  palografico e cp - rh em acao - outubro/2017   excel avancado - senai - santo amaro - janeiro a marco/2016   recrutamento e selecao - senac santo amaro - maio/2015 a julho/2015   mesa redonda: ""atestado medico"" - unimed sul mineira - pouso alegre/ - maio/2013   agente multiplicador de treinamento - senac pouso alegre/mg - abril/2013   desenvolvimento em liderancas: senac pouso alegre - julho/2012   entrevista por competencia e elaboracao de laudos - ceaap sao paulo/sp - janeiro/2011.   ass. de rh e dpto. pessoal - senais vila leopoldina - sao paulo/sp - julho/2008. ",ass. de rh e dpto. pessoal - senais vila leopoldina - sao paulo/sp - julho/2008,,,,2008-07,senac pouso alegre - julho,,,,,2015-05,unknown
cv44073.xml,linux basico: - senac,linux basico: - senac,,,,,senac,,,,,,unknown
cv40326.xml,coti informatica curso de web developer em java - 104 horas 05/2015-11/2015 servlets  jsp  cdi  oracle sqlplus 11g  hibernate  jpa  jsf  primefaces  struts  ireports  mongodb  android e webservices com arquitetura restfull. digidata brasil c# fundamental  c# dot.net e cristal report - 64 horas 03/2013-05/2013 dot.net webforms  dot.net mvc5  webapi  entity framework  ajax  jquery.,03/2013-05/2013 dot.net webforms  dot.net mvc5  webapi  entity framework  ajax  jquery,,,,2013-05,coti informatica,,,,,2013-03,unknown
cv45086.xml,colegio singular: tecnico em informatica (2007) pronatec: assistente de recursos humanos (2017 ead) busco uma melhor colocacao no mercado de trabalho  com experiencia em recrutamento e selecao com conhecimento toda a rotina. conhecimento em vagas desde o nivel tecnico de suporte  ate os especificos  como gestores  administradores de rede e em alguns processos seletivos alguns perfis com certificacao itil. vasto conhecimento em informatica e processos administrativos  auxilio total ao departamento  facilidade em trabalhar com arquivos e digitalizacoes. profissional agil  organizado e determinado  empenhando em aprender e desenvolver novas funcoes  com vontade de crescer profissionalmente e somar resultados para o quadro da empresa.,profissional agil  organizado e determinado  empenhando em aprender e desenvolver novas funcoes  com vontade de crescer profissionalmente e somar resultados para o quadro da empresa,,,2017,,colegio singular,,,,,,unknown
cv42739.xml,xxxiv congresso interamericano de psicologia - uniceub dinamicas e testes na selecao 22h - fundacao bradesco - escola virtual departamento de pessoal - 32h - todas as rotinas de departamento pessoal - karitas cusrso tecnico administrativo - escola tecnica de ceilandia,tecnico administrativo - escola tecnica de ceilandia,,,,,escola tecnica de ceilandia,,,,,,unknown
cv45457.xml,grupo cennatech - business for people - 12/2017 grupo cennatech - o poder da autorresponsabilidade (febracis) - 10/2017 grupo cennatech - mapeamento de perfil (febracis) - 09/2017 lugar de gente - webinar recrutamento digital perfeito - 08/2017 zurich academy - legislacao antitruste e concorrencia justa -03/2015 adp brasil - e-social - 01/2015 zurich academy - trabalhando de forma inclusiva para obter excelencia sustentavel - 09/2014 zurichacademy - consciencia da seguranca da informacao - 08/2014 zurich academy - prevencao do suborno e da corrupcao - 06/2014 insight company - programa de formacao de facilitador -05/2014 zurich academy - treinamento de clean desk - 04/2014 ,zurich academy - treinamento de clean desk - 04/2014,,,,2014-04,zurich academy,,,,,,unknown
cv45764.xml,treinamento scrum hardcore - infiniteway design thinking - universidade veiga de almeida gerenciamento de projetos: teoria e pratica - projectlab preparatorio para certificacao pmp - projectlab virtualizacao (nfv) e cloud service - claro - huawei,virtualizacao (nfv) e cloud service - claro - huawei,,,,,universidade veiga de almeida,pmp,,,,,unknown
cv42637.xml,  tecnico em enfermagem. rhema  conclusao em 2008.,tecnico em enfermagem. rhema  conclusao em 2008,,,2008,,,,,,,,unknown
cv43814.xml,area: metodologia agil de desenvolvimento de sistemas descricao: certificacao scrum master - csm instituicao: knowledge21 - the agile transformation company - scrum alliance carga horaria: 40 horas data conclusao: 04/2016  area: analise de sistema descricao: analise de sistemas utilizando rup e uml instituicao: escola de formacao de trabalhadores em informatica - efti carga horaria: 40 horas data conclusao: 03/2008  area: banco de dados descricao: modelagem de dados em banco relacional instituicao: politec s/a carga horaria: 60 horas data conclusao: 04/2005  area: banco de dados descricao: administracao de banco de dados oracle 7 instituicao: oracle do brasil carga horaria: 30 horas data conclusao: 01/1998   habilidades e conhecimentos   area: desenvolvimento de sistemas em linguagem cobol periodo de atividade: 01/1997 a 01/2001  12/2004 a 11/2010 e 07/2013 a 03/2018 auto-avaliacao: avancado detalhamento da auto-avaliacao: analise  desenvolvimento e sustentacao de sistemas corporativos implementados em linguagem cobol batch  sp cobol  sp nativa  visual age  acessando banco de dados relacional db2.  area: desenvolvimento de sistemas orientado a objeto periodo de atividade: 11/2010 a 06/2013 auto-avaliacao: avancado detalhamento da auto-avaliacao: administracao de dados  analise e desenvolvimento de sistemas corporativos em linguagem php oo  utilizando componentes jquery  javascript e acesso a banco de dados postgres. ,periodo de atividade: 11/2010 a 06/2013 auto-avaliacao: avancado detalhamento da auto-avaliacao: administracao de dados  analise e desenvolvimento de sistemas corporativos em linguagem php oo  utilizando componentes jquery  javascript e acesso a banco de dados postgres,,current,,2013-06,periodo de atividade,,,,,2010-11,unknown
cv43510.xml,fiap -  2017 scrum aplicar o framework scrum na pratica envolvendo o product owner e o time scrum. experiencia no framework scrum para diversos projetos. compreender e aplicar uma sprint  product backlog  reunioes diarias  reuniao de planejamento.  fiap -  2017 scrum master auxiliar e garantir que o time scrum adere as praticas e regras do scrum ajudando nas interacoes entre o product owner e o time scrum a maximizar o valor de cada entrega dentro do framework scrum.  iai? instituto de artes interativas - 2016 html 5  css 3  javascript e jquery.  ux e ui -  2015 a experiencia do usuario (ux) concentra-se em ter uma profunda compreensao dos usuarios  o que eles precisam  o que eles valorizam  suas habilidades  e tambem as suas limitacoes. com base nestes aspectos e medido o nivel de satisfacao geral dos usuarios enquanto usam produtos ou sistemas.  iphone & android -  2015 desenvolver aplicativos para dispositivos moveis com ios ou android com o html5 usando padroes web de codigo aberto para desenhar e construir aplicacoes que podem ser adaptados para qualquer dispositivo. empacotar com recursos nativos em 7 plataformas diferentes (ios  android  wp7  hp webos  blackberry  symbian e bada) utilizando o phonegap.  formacao de gestores de marketing digital e midias sociais -  2013 criacao de planejamento de marketing digital. apresentar de forma expositiva e pratica os diversos meios online para divulgacao na internet  utilizando o adwords  analytics  comparadores de precos e ferramentas de redes sociais. monitoramento de desempenho e analise de resultados  ter uma visao geral do mercado para reconhecerem e utilizarem as melhores estrategias para o seu nicho de mercado.  adobe conference -  2009  2010 e 2011 evento reune varios profissionais como fotografos  publicitarios  diretores de arte  designer graficos  web designers  video makers e estudantes com o objetivo de discutir ideias e tecnicas para melhorar a qualidade de nossos trabalhos e aumentar a produtividade do dia a dia do profissional.  drc - plataforma mac - 2010 adobe -  after effects cs 4  premiere cs4  dreamweaver cs4  flash cs4  fireworks cs4   https://www.scrum.org/user/310771   scrum org - 03/2018 professional scrum master - licenca professional scrum master i. ,scrum org - 03/2018 professional scrum master - licenca professional scrum master i,1971-07-31,,2010,2018-03,ux e ui,,,,,,unknown
cv44367.xml,fotografia basica e avancada - 4oeclipse. ipd  windows xp  word xp  excel xp  digitacao  internet  photoshop  coreldraw  d  new value informatica. recrutamento e selecao de pessoal - wdc - consultoria organizacional. direito trabalhista - capacidade maxima / petrobras. lideranca - capacidade maxima / petrobras. cult lider - sebrae/go. participacao em varias palestras sobre vendas  atendimento ao cliente  motivacional  gestao do conhecimento  estrategia & gestao  empresarial  resultados & equilibrio  gestao  do  tempo  lideranca & equipe e outras.,lideranca & equipe e outras,,,,,consultoria organizacional,,,,,,unknown
cv45101.xml, seguranca da informacao (fundacao bradesco - 23 horas)  banco de dados (esab - 40 horas)  introducao ao scrum (anderson barros - gonow - 8 horas)  altitude software (uagent  usupervisor) - configuracao e administracao (altitude software - 40 horas)  java para desenvolvimento web (caelum ensino e solucoes em java - 40 horas)  java e orientacao a objetos (caelum ensino e solucoes em java - 40 horas)  java j2se (dominio tecnologia - 28 horas)  asp + javascript (dominio tecnologia - 28 horas)  introducao a gestao pela qualidade total (eng. joarlei coragem - 30 horas) diagrama de ishikawa grafico de controle diagrama de pareto estratificacao histograma diagrama de correlacao lista de verificacao tecnica fluxograma tec. brainstorming tec. nominal de grupo tec. 5w 1h ciclo de deming - ciclo pdca (controle de processos) mssp (metodo simplificado de solucao de problemas).,problemas,,,,,tec. nominal de grupo,,,,,,unknown
cv43653.xml, treinamento leading safe 4.5 - adaptworks (fev/1028)  excel avancado - udemy (2018)  project avancado - udemy (2018)  modelagem de processos com bizagi - udemy (2018)  agile project management - scrum master (psm) - udemy (2018)  pmi-acp agile certified exam prep - udemy (2017)  preparatorio certificacao itil foundation - udemy (2017)  ielts band 7+ complete prep course - udemy (2017)  processo de desenvolvimento de software - fundacao bradesco (2013)  engenharia de requisitos - fundacao bradesco (2013)   brasilia  13 de marco de 2018 ,brasilia  13 de marco de 2018,2018-03-13,,2013,,fundacao bradesco,,,,,,unknown
cv42851.xml,.  2017 - dialogando sobre a lei maria da penha - instituto legislativo brasileiro (ilb)  orgao do senado federal - 60h - 2017. .  2015 - estagio clinico supervisionado.  estagio basico em psicologia escolar. estagio basico em psicologia do trabalho - 80h. .  2015 - prevencao dos  problemas  relacionados  ao uso de  drogas: capacitacao  para  lideres comunitarios - 120h. .  2015 - palestra como escrever um texto nota 10  com dadi squarisi - 3h30. .  2016 - apresentacao  no  ii encontro  de  psicologia ciencia  e  profissao  do  udf -  artigo: a importancia  e  os  desafios  da  atuacao  do  psicologo  oncologista  na  rede  de saude do distrito federal. .  2007 - informatica basica - 72h.   pag  i  na 2 ,pag  i  na 2,,,2007,,informatica basica,,,,2017,,unknown
cv40630.xml, recursos humanos - senac - carga horaria 24 horas,recursos humanos - senac - carga horaria 24 horas,,,,,senac,,,,,,unknown
cv44255.xml,fundamentos de seguranca da informacao - tiexames - exin green it citizen - tiexames - iso/iec 20000 - sistema de gestao de servicos de ti - tiexames - reunioes produtivas - webaula porto seguro - condicoes gerais seguro automovel - webaula porto seguro - seguro empresarial - porto seguro empresa - webaula porto seguro - administracao do tempo - webaula porto seguro - prevencao a lavagem de dinheiro (susep) - webaula porto seguro - prevencao e combate a fraude - webaula porto seguro - conceitos basicos de seguros - webaula porto seguro - competencias organizacao e flexibilidade - porto seguro - dez competencias porto seguro - porto seguro - tecnicas de testes de software - porto seguro - analise ponto de funcao - porto seguro - preparatorio para exame de certificacao pmp - pmi-sp - gerenciamento de projetos - esi - itil fundamentos - quint wellington redwood - primavera expedition for contract administration - stei - primavera project manager 5 - stei - workshop itil / control it - quint wellington redwood - certificacao digital i  ii e iii (desenvolvimento para .net) - certisign - microsoft project orange belt - iil - msf - microsoft solution framework essentials - ka solution - analyzing requirements and defining ms .net solution architectures - ka solution - hands on microsoft office system 2003 - microsoft brasil - introducao ao oracle 8i  sql e pl/sql - oracle - arquitetura e administracao de banco de dados oracle 8i - oracle - backup e recovery de bancos de dados oracle 8i - oracle - performance tuning de banco de dados oracle 8i - oracle - administracao de redes para banco de dados oracle 8i - oracle - analise essencial - choose technologies - linguagem c / c++ com poo - fundacao santo andre - linguagem java - usp (ime) - computacao ii - usp (ime) - casd / jcl-mvs / cobol / xpediter - humaita tecnologia - ingles (ate fce level) - cultura inglesa abril/2018 tecnico em processamento de dados - codificador de programas - concluido em 1993 ete lauro gomes,ete lauro gomes,,,1993,2018-04,fce,,,,,,unknown
cv41539.xml,curso tecnico em logistica  ifb-df (administracao/gestao em rh/gestao em marketing) curso assistente administrativo ifb,curso assistente administrativo ifb,,,,,,,,,,,unknown
cv45598.xml,sistema microsiga  informatica pacote office informatica windows word excel powerpoint sistema ap7 e rm fluxus  labore  chronus e nucleos auxiliar de contabilidade legislacao trabalhista cooperativismo atendimento ao cliente relacoes trabalhistas departamento pessoal departamento financeiro conta a pagar e receber fechamento de caixa programa de desenvolvimento para a area administrativa financeira etica recursos humanos diversidade nas organizacoes  ciencia e tecnologia apf - analise e planejamento financeiro d-olho da qualidade 5s  para os pequenos negocios primeiro socorros  seguranca no trabalho e cipa  ei empreendedor individual ingles intermediario saude suplementar - desafios e perspectivas treinamento compliance 2015 gestao de conflitos gestao de tempo programa compliance 2014 - etica e conduta e anticorrupcao relacionamento interpessoal sistema agsi / sips e o sab,sistema agsi / sips e o sab,,,2014,,diversidade nas organizacoes  ciencia e tecnologia,,,,,,unknown
cv44696.xml,praticas de administracao de pessoal instituicao: senac curso de psicologia forense/ pericia psicologica ministrado por sidney kioshy shine instituicao: integra experiencia complementar internacional intercambio para europa (londres) mochilao pela america do sul (argentina e uruguai),mochilao pela america do sul (argentina e uruguai),,,,,mochilao pela america do sul (argentina e uruguai),,,,,,unknown
cv43324.xml,certified scrum master (csm) - knowledge21 preparatorio para os exames capm e pmp - ti.exames mssqlserver 7.0 designer e implementation - hepta informatica rational unified process fundamentals - dba engenharia de sistemas requeriments management with usecases - dba engenharia de sistemas gerencia de projetos - efti microsoft .net framework 2.0 web-based client development - eibsbnet,microsoft .net framework 2.0 web-based client development - eibsbnet,,,,,engenharia de sistemas,pmp,,,,,unknown
cv44715.xml,  negociacao - fundacao getulio vargas / fgv - extensao de graduacao    treinamento de lideranca - fundacao dom cabral   indicadores de rh - integracao escola de negocios   excel avancado - impacta certificacao e treinamento   metodo lotus inteligencia emocional - sociedade brasileira de inteligencia emocional (sbie),metodo lotus inteligencia emocional - sociedade brasileira de inteligencia emocional (sbie),,,,,metodo lotus inteligencia emocional - sociedade brasileira de inteligencia emocional,,,,,,unknown
cv44783.xml,  curso de oratoria - index rh   entrevista por competencia - paideia   cargos e salarios - in company   contratacao de deficientes fisicos - in company   teste comper - in company,teste comper - in company,,,,,teste comper - in company,,,,,,unknown
cv45664.xml,   curso docker: criando containers sem dor de cabeca - instituicao: alura - ano: 05/2018    curso jax-rs e jersey: domine a criacao de webservices rest - instituicao: alura - ano: 09/2017    curso uft com  bpt: automacao de testes com hp-uft com  hp-bpt - ano: 05/2016    aa1 - alm e testes (redmine  subversion  git  maven  nexus  jenkis  hudson  junit  selenium  jmeter e sonar) - instituicao: global code - ano: 2014    testes unitarios com junit - instituicao: caelum - ano: 2012    testes automatizados com selenium  webdriver - instituicao: caelum - ano: 2012    testes de software para equipes ageis - instituicao: qualister - periodo: 15/06/2012 a 16/06/2012 - carga horaria: 12 horas    gestao estrategica de ti - itil - instituicao: bradesco - periodo: 26/09/2011 a 11/10/2011 - carga horaria: 41 horas    microsoft crm dynamics  - instituicao: fiap-curso extensao - periodo: 07/12/2009 a 11/12/2009 - carga horaria: 20 horas    banco de dados  mysql  modulo 1 - instituicao: impacta tecnologia - periodo: 06/07/2009 a 17/07/2009 - carga horaria: 40 horas    java e orientacao a objetos - instituicao: caelum - periodo: 14/03/2009 a 11/04/2009 - carga horaria: 40 horas    logica de programacao/visual basic - instituicao: compuway - periodo: 07/2000 a 01/2001 - carga horaria: 56 horas    web  designer - instituicao: escola senai anchieta - periodo: 06/2000 a 12/2000 -   carga horaria: 50 horas ,web  designer - instituicao: escola senai anchieta - periodo: 06/2000 a 12/2000 -   carga horaria: 50 horas,2009-04-11,,2012,2000-12,escola senai anchieta - periodo,,2009-03-14,,,2000-06,unknown
cv42699.xml," java poo (curso em video) - 40 horas  java basico (curso em video) - 40 horas  fluig (totvs) - 80 horas  nodejs (udemy) - 40 horas  advpl one fundamentos - (t-tech) - 40 horas  planejamento e controle orcamentario - (totvs) - 16 horas  formacao tecnica i ""protheus""- (totvs) - 40 horas  banco de dados sql server 2008 - (compuclass) - 40 horas  .net 2010 especialista (50 minutos - treinamentos em tecnologia) - 128 horas  especialista sql server 2008 r2 (50 minutos - treinamentos em tecnologia) - 128 horas  php & mysql tecnica para web 2.0 442 (4linux) - 40 horas  php & mysql essentials 412 - (4linux) - 40 horas  hands on - windows 2008 (acr informatica) - 24 horas  windows server 2003 ""implementacoes avancadas"" (acr informatica) - 40 horas  windows server 2003 ""instalacao  configuracao e administracao"" (acr informatica) - 40 horas  banco de dados oracle 10g ""basico"" (nc software) - 40 horas  cabling i - cabeamento estruturado (impacta) - 40 horas  conceitos e infraestrutura de redes i (impacta) - 24 horas  linux fundamentos do sistema (impacta) - 40 horas  linux lpi 101 (impacta) - 40 horas  linux lpi 102 (impacta) - 40 horas  linux samba integracao com rede windows (impacta) - 24 horas  linux firewall e ferramentas de seguranca (impacta) - 40 horas  linux apache servidor web (impacta) - 24 horas  linux adm. de sistemas (impacta) - 40 horas  linux adm. de sistemas ii (impacta) - 40 horas  linux adm. de redes (impacta) - 40 horas",linux adm. de redes (impacta) - 40 horas,,,,,acr informatica,,,,,,unknown
cv42226.xml,rockfeller language center - ingles adulto2 - (enfase em conversacao) - modulo iii - nivel intermediario.,rockfeller language center - ingles adulto2 - (enfase em conversacao) - modulo iii - nivel intermediario,,,,,rockfeller language center,,,,,,unknown
cv44096.xml,.   safe 4 agilist pela adaptworks .   gerenciamento de projetos na pratica pela efti .   preparatorio para certificacao pmp - in company .   ms project 2010 - fundacao bradesco .   gestao de riscos em ti utilizando a ferramenta risk manager - com exito. .   gestao de conflitos - fundacao bradesco .   excel avancado - udemy .   project avancado - udemy . modelagem de processos com bizagi - udemy .   agile project management - scrum master (psm) - udemy .   pmi-acp agile certified exam prep - udemy .   ielts band 7+ complete prep course - udemy .   processo de desenvolvimento de software - fundacao bradesco .   engenharia de requisitos - fundacao bradesco,engenharia de requisitos - fundacao bradesco,,,,,fundacao bradesco,pmp,,,,,unknown
