id,licenseorcertification_description,licenseorcertification_effectivedate_firstissueddate_year,licenseorcertification_id,licenseorcertification_name
cv54863.xml,certification; found in certifications,,3,70-486 developing asp.net mvc web applications
cv54863.xml,certification; found in certifications,,4,70-480 programming in html5 with javascript and css3
cv45207.xml,certification; matched to list,,1,itil v3
cv45207.xml,certification; matched to list,,2,pmp
cv44679.xml,certification; found in certifications; matched to list,,1,foundation certificate in it service management
cv44679.xml,certification; found in certifications; matched to list,,2,foundation certificate
cv44679.xml,certification; found in certifications; matched to list,,3,certificate in it service management
cv44679.xml,certification; found in certifications; matched to list,,4,certificate in it
cv44679.xml,certification; found in certifications; matched to list,,5,certified technology specialist
cv44679.xml,certification; found in certifications; matched to list,,6,certified technology
cv44679.xml,certification; found in certifications,,7,axelos global best practice
cv44679.xml,certification; found in certifications,,8,licença: gr750231384rv
